"","DATE","JULIAN_DAY","WATERSHED","STREAM","SPEC","SEX","CL","MASS","worms"
"MAGN_1_1A","6/8/2013",159,"new","bigstoney","scio","M1",31.5,9.22,108
"MAGN_1_1B","6/8/2013",159,"new","bigstoney","scio","F",33,10.92,213
"MAGN_1_1C","6/8/2013",159,"new","bigstoney","scio","M2",34.5,15.65,208
"MAGN_1_2A","6/8/2013",159,"new","lilstoney","scio","M2",33.5,10.69,194
"MAGN_1_2B","6/8/2013",159,"new","sink","scio","F",36,17.04,203
"MAGN_1_2C","6/8/2013",159,"new","toms","scio","F",34,13.69,125
"MAGN_1_3A","6/8/2013",159,"new","bigstoney","scio","F",34.5,11.78,182
"MAGN_1_3B","6/8/2013",159,"new","bigstoney","scio","F",32.5,10.05,186
"MAGN_1_3C","6/8/2013",159,"new","spruce","scio","M2",26,6.48,95
"MAGN_1_4A","6/8/2013",159,"new","spruce","scio","M2",36.5,15.49,236
"MAGN_1_4B","6/8/2013",159,"new","bigstoney","scio","M2",36.5,16.78,287
"MAGN_1_4C","6/8/2013",159,"new","sink","scio","M2",25,5.32,44
"MAGN_2_1","6/15/2013",166,"new","sink","scio","F",33.19,13.21,207
"MAGN_2_11","6/15/2013",166,"new","sink","scio","M2",34.13,18.21,147
"MAGN_2_12","6/15/2013",166,"new","poverty","scio","M2",34.67,18.36,93
"MAGN_2_13","6/15/2013",166,"new","sink","scio","F",33.36,14.15,160
"MAGN_2_15","6/15/2013",166,"new","bigstoney","scio","M2",34.6,15.77,253
"MAGN_2_2","6/15/2013",166,"new","bigstoney","scio","F",38.08,21.7,92
"MAGN_2_4","6/15/2013",166,"new","poverty","scio","F",39.3,24.61,65
"MAGN_2_5","6/15/2013",166,"new","sink","scio","F",36.71,18.72,438
"MAGN_2_6","6/15/2013",166,"new","sink","scio","M2",40.13,25.8,230
"MAGN_2_7","6/15/2013",166,"new","toms","scio","M2",34.48,16.15,210
"MAGN_2_8","6/15/2013",166,"new","bigstoney","scio","F",34.17,15.31,130
"MAGN_2_9","6/15/2013",166,"new","sink","scio","F",36.44,17.91,101
"MAGN_3_1","7/18/2013",199,"new","poverty","scio","M2",35.91,15.42,283
"MAGN_3_2","6/18/2013",169,"new","spruce","scio","M2",34.01,12.82,254
"MAGN_3_3","6/18/2013",169,"new","bigstoney","scio","M2",34.97,15.23,237
"MAGN_3_4","6/18/2013",169,"new","lilstoney","scio","F",34,14.32,197
"MAGN_3_5","6/18/2013",169,"new","spruce","scio","F",29.38,9.7,119
"MAGN_3_6","6/18/2013",169,"new","sink","scio","F",34.56,12.92,207
"MAGN_4_1","6/22/2013",173,"new","bigstoney","scio","M2",33.61,16.9,68
"MAGN_4_10","6/22/2013",173,"new","sink","scio","M2",35.28,16.06,88
"MAGN_4_12","6/22/2013",173,"new","sink","scio","M2",29.76,10.09,59
"MAGN_4_2","6/22/2013",173,"new","toms","scio","F",34.17,15.02,26
"MAGN_4_3","6/22/2013",173,"new","sink","scio","F",41.73,28.36,88
"MAGN_4_5","6/22/2013",173,"new","poverty","scio","M2",36.5,17.27,110
"MAGN_4_6","6/22/2013",173,"new","sink","scio","F",34.85,14.2,116
"MAGN_4_8","6/22/2013",173,"new","bigstoney","scio","F",27.92,7.68,41
"MAGN_4_9","6/22/2013",173,"new","bigstoney","scio","F",39.62,23.95,27
"MAGN_5_1","7/4/2013",185,"new","bigstoney","scio","M2",32.44,13.36,66
"MAGN_5_10","7/4/2013",185,"new","sink","scio","F",30,10.86,152
"MAGN_5_11","7/4/2013",185,"new","poverty","scio","F",32,10.43,237
"MAGN_5_12","7/4/2013",185,"new","sink","scio","M2",32,11.73,42
"MAGN_5_2","7/4/2013",185,"new","bigstoney","scio","F",32,12.32,49
"MAGN_5_3","7/4/2013",185,"new","toms","scio","M2",36.5,15.28,103
"MAGN_5_4","7/4/2013",185,"new","bigstoney","scio","F",32.5,15.31,102
"MAGN_5_5","7/4/2013",185,"new","bigstoney","scio","M2",35,15.74,81
"MAGN_5_6","7/4/2013",185,"new","sink","scio","M2",35,21.37,114
"MAGN_5_7","7/4/2013",185,"new","bigstoney","scio","M2",30,9.8,79
"MAGN_5_8","7/4/2013",185,"new","sink","scio","F",31,10.67,147
"MAGN_5_9","7/4/2013",185,"new","bigstoney","scio","M2",30,11.04,87
"MICRO_BS01","7/20/2012",202,"new","sink","scio","M2",31.98,9.621,55
"MICRO_BS02","7/20/2012",202,"new","bigstoney","scio","M2",38.82,17.785,37
"MICRO_BS03","7/20/2012",202,"new","bigstoney","scio","M1",46.68,33.605,80
"MICRO_BS04","7/20/2012",202,"new","sink","scio","M2",31.96,8.852,23
"MICRO_BS05","7/20/2012",202,"new","spruce","scio","F",34.09,11.029,65
"MICRO_BS06","7/20/2012",202,"new","toms","scio","F",33.24,10.799,39
"MICRO_BS07","7/20/2012",202,"new","sink","scio","M1",43.34,23.6,63
"MICRO_BS08","7/20/2012",202,"new","lilstoney","scio","M1",39.34,20.513,35
"MICRO_BS09","7/20/2012",202,"new","sink","scio","M1",48.14,42.951,38
"MICRO_BS10","7/20/2012",202,"new","sink","scio","M1",49.04,43.703,88
"MICRO_BS11","7/20/2012",202,"new","bigstoney","scio","M1",37.67,16.138,65
"MICRO_BS12","7/20/2012",202,"new","poverty","scio","M1",36.78,14.584,46
"MICRO_BS13","7/20/2012",202,"new","poverty","scio","M2",33.71,10.678,55
"MICRO_SC01","7/20/2014",201,"new","bigstoney","scio","M2",37.76,19.587,32
"MICRO_SC02","7/20/2014",201,"new","sink","scio","M2",38.1,17.673,57
"MICRO_SC03","7/20/2014",201,"new","lilstoney","scio","F",30.83,10.46,45
"MICRO_SC04","7/20/2014",201,"new","sink","scio","F",35.06,15.301,41
"MICRO_SC05","7/20/2014",201,"new","sink","scio","F",38.24,18.792,94
"MICRO_SC06","7/20/2014",201,"new","sink","scio","M2",36.35,16.083,80
"MICRO_SC07","7/20/2014",201,"new","poverty","scio","F",33.02,11.919,66
"MICRO_SC08","7/20/2014",201,"new","sink","scio","F",28.89,7.821,31
"MICRO_SC09","7/20/2014",201,"new","lilstoney","scio","M2",34.22,12.52,58
"MICRO_SC11","7/20/2014",201,"new","lilstoney","scio","M2",34.8,15.302,51
"MICRO_SC12","7/20/2014",201,"new","sink","scio","F",33.63,12.152,40
"MICRO_SR01","7/20/2014",201,"new","bigstoney","scio","F",41.04,22.901,24
"MICRO_SR02","7/20/2014",201,"new","sink","scio","F",32.3,11.223,6
"MICRO_SR03","7/20/2014",201,"new","bigstoney","scio","F",37.44,17.963,1
"MICRO_SR04","7/20/2014",201,"new","bigstoney","scio","F",35.59,14.528,17
"MICRO_SR05","7/20/2014",201,"new","sink","scio","F",30.75,8.932,1
"MICRO_SR06","7/20/2014",201,"new","spruce","scio","F",33.33,13.688,0
"MICRO_SR07","7/20/2014",201,"new","sink","scio","F",33.74,13.588,22
"MICRO_SR08","7/20/2014",201,"new","bigstoney","scio","F",30.59,8.958,2
"MICRO_SR09","7/20/2014",201,"new","sink","scio","F",35.35,15.353,14
"MICRO_SR10","7/20/2014",201,"new","sink","scio","F",25.98,6.002,2
"MICRO_SR11","7/20/2014",201,"new","bigstoney","scio","F",28.7,7.723,1
"MICRO_SR12","7/20/2014",201,"new","sink","scio","F",34.89,14.108,10
"MICRO_TC01","7/20/2014",201,"new","spruce","scio","F",31.22,9.241,3
"MICRO_TC02","7/20/2014",201,"new","sink","scio","M2",32.08,9.826,3
"MICRO_TC03","7/20/2014",201,"new","poverty","scio","M2",34.69,13.602,5
"MICRO_TC04","7/20/2014",201,"new","spruce","scio","F",30.15,7.728,0
"MICRO_TC05","7/20/2014",201,"new","spruce","scio","M2",34.15,13.417,5
"MICRO_TC06","7/20/2014",201,"new","sink","scio","F",27.32,6.254,1
"MICRO_TC07","7/20/2014",201,"new","sink","scio","M2",31.68,10.491,15
"MICRO_TC08","7/20/2014",201,"new","bigstoney","scio","M2",31.39,10.741,13
"MICRO_TC09","7/20/2014",201,"new","sink","scio","F",31.94,9.314,3
"MICRO_TC10","7/20/2014",201,"new","sink","scio","F",30.69,9.43,3
"MICRO_TC11","7/20/2014",201,"new","bigstoney","scio","M2",28.41,7.701,9
"MICRO_TC12","7/20/2012",202,"new","sink","scio","M2",26.81,5.703,3
"QUANT_1_1_1","6/10/2014",161,"new","sink","scio","M2",27.55,4.2,4
"QUANT_1_1_2","6/10/2014",161,"new","bigstoney","scio","F",20.32,2.3,19
"QUANT_1_1_3","6/10/2014",161,"new","bigstoney","scio","F",19.1,1.59,8
"QUANT_1_10_1","6/10/2014",161,"new","spruce","scio","F",31.93,9.71,56
"QUANT_1_10_2","6/10/2014",161,"new","bigstoney","scio","F",38.45,19.96,50
"QUANT_1_10_3","6/10/2014",161,"new","lilstoney","scio","F",36.44,15.75,67
"QUANT_1_10_4","6/10/2014",161,"new","bigstoney","scio","M1",37.13,20,41
"QUANT_1_10_5","6/10/2014",161,"new","sink","scio","M2",33.91,12.97,93
"QUANT_1_2_1","6/10/2014",161,"new","bigstoney","scio","F",35.19,13.44,60
"QUANT_1_2_2","6/10/2014",161,"new","spruce","scio","F",23.16,3.84,20
"QUANT_1_2_3","6/10/2014",161,"new","lilstoney","scio","F",23.2,3.02,27
"QUANT_1_2_4","6/10/2014",161,"new","sink","scio","M2",21.34,1.93,6
"QUANT_1_2_5","6/10/2014",161,"new","sink","scio","F",34.56,12.3,64
"QUANT_1_2_6","6/10/2014",161,"new","sink","scio","M2",22,3.27,29
"QUANT_1_2_7","6/10/2014",161,"new","spruce","scio","F",22.51,3.5,21
"QUANT_1_3_1","6/10/2014",161,"new","sink","scio","M2",26.45,5.44,28
"QUANT_1_3_2","6/10/2014",161,"new","sink","scio","M2",19.84,2.2,16
"QUANT_1_3_3","6/10/2014",161,"new","lilstoney","scio","F",23.2,3.46,22
"QUANT_1_3_4","6/10/2014",161,"new","sink","scio","F",19.69,2.07,7
"QUANT_1_3_5","6/10/2014",161,"new","lilstoney","scio","M2",27.41,5.71,21
"QUANT_1_4_1","6/10/2014",161,"new","sink","scio","F",12.9,0.14,0
"QUANT_1_4_2","6/10/2014",161,"new","bigstoney","scio","M2",23.56,4.16,26
"QUANT_1_4_3","6/10/2014",161,"new","sink","scio","M2",22.19,3.11,25
"QUANT_1_4_4","6/10/2014",161,"new","sink","scio","M2",23.3,3.89,12
"QUANT_1_5_1","6/10/2014",161,"new","bigstoney","scio","F",11.54,0.77,0
"QUANT_1_5_2","6/10/2014",161,"new","bigstoney","scio","M2",21.76,3.47,25
"QUANT_1_5_3","6/10/2014",161,"new","bigstoney","scio","F",21.59,3.09,23
"QUANT_1_5_4","6/10/2014",161,"new","lilstoney","scio","M2",25.16,5.12,29
"QUANT_1_6_1","6/10/2014",161,"new","sink","scio","F",10.99,0.28,2
"QUANT_1_6_2","6/10/2014",161,"new","bigstoney","scio","M2",31.76,9.42,43
"QUANT_1_6_3","6/10/2014",161,"new","sink","scio","M1",38.4,22.22,59
"QUANT_1_6_4","6/10/2014",161,"new","sink","scio","F",20.58,3.12,26
"QUANT_1_7_1","6/10/2014",161,"new","bigstoney","scio","M2",24.2,3.62,28
"QUANT_1_7_2","6/10/2014",161,"new","sink","scio","F",27.47,7.31,59
"QUANT_1_7_3","6/10/2014",161,"new","sink","scio","F",23.76,4.15,9
"QUANT_1_7_4","6/10/2014",161,"new","bigstoney","scio","F",36.47,17.74,43
"QUANT_1_8_1","6/10/2014",161,"new","sink","scio","F",47.44,30.66,87
"QUANT_1_9_1","6/10/2014",161,"new","sink","scio","M2",23.02,2.86,26
"QUANT_1_9_2","6/10/2014",161,"new","bigstoney","scio","F",10,0.21,0
"QUANT_1_9_3","6/10/2014",161,"new","spruce","scio","F",24.61,4.36,53
"QUANT_1_9_4","6/10/2014",161,"new","sink","scio","M2",35.78,18.8,56
"QUANT_1_9_5","6/10/2014",161,"new","sink","scio","M1",38.23,18.95,66
"QUANT_1_9_6","6/10/2014",161,"new","bigstoney","scio","F",32.33,10.82,50
"QUANT_1_9_7","6/10/2014",161,"new","poverty","scio","M2",35.4,16.6,23
"QUANT_1_9_8","6/10/2014",161,"new","sink","scio","M1",35.8,18.1,140
"QUANT_11_1_1","7/7/2014",188,"new","newriver","scio","M2",17.18,1.3,0
"QUANT_11_1_2","7/7/2014",188,"new","bigstoney","scio","F",17.42,1.35,0
"QUANT_11_10_1","7/7/2014",188,"new","bigstoney","scio","M2",15.65,0.93,0
"QUANT_11_10_2","7/7/2014",188,"new","sink","scio","F",18.21,1.45,0
"QUANT_11_2_1","7/7/2014",188,"new","sink","scio","M2",18.35,1.6,0
"QUANT_11_2_2","7/7/2014",188,"new","spruce","scio","F",31.89,10,7
"QUANT_11_2_3","7/7/2014",188,"new","lilstoney","bart","F",19.29,2.1,1
"QUANT_11_2_4","7/7/2014",188,"new","sink","scio","M2",16.49,1.1,0
"QUANT_11_2_5","7/7/2014",188,"new","sink","scio",NA,9.11,0.17,0
"QUANT_11_2_6","7/7/2014",188,"new","bigstoney","scio",NA,9.14,0.18,0
"QUANT_11_2_7","7/7/2014",188,"new","bigstoney","scio",NA,11.83,0.33,0
"QUANT_11_3_1","7/7/2014",188,"new","sink","scio",NA,18.5,1.38,0
"QUANT_11_3_2","7/7/2014",188,"new","sink","scio",NA,15.3,0.98,0
"QUANT_11_3_3","7/7/2014",188,"new","bigstoney","scio",NA,12.01,0.33,0
"QUANT_11_4_1","7/7/2014",188,"new","sink","bart",NA,13.18,0.52,0
"QUANT_11_4_2","7/7/2014",188,"new","sink","bart",NA,14.82,0.92,0
"QUANT_11_4_3","7/7/2014",188,"new","bigstoney","scio","M2",11.25,0.26,0
"QUANT_11_4_4","7/7/2014",188,"new","sink","scio","F",6.88,0.06,0
"QUANT_11_6_1","7/7/2014",188,"new","spruce","scio","M2",18.92,1.46,0
"QUANT_11_7_1","7/7/2014",188,"new","sink","scio","F",28.91,6.28,1
"QUANT_11_7_2","7/7/2014",188,"new","sink","scio","F",39.52,15.01,3
"QUANT_11_7_3","7/7/2014",188,"new","bigstoney","scio","M2",14.91,0.75,0
"QUANT_11_8_1","7/7/2014",188,"new","sink","bart","F",35.99,12.93,7
"QUANT_11_8_2","7/7/2014",188,"new","sink","scio","F",17.25,1.27,2
"QUANT_11_8_3","7/7/2014",188,"new","sink","scio","F",11.38,0.26,0
"QUANT_11_9_1","7/7/2014",188,"new","sink","scio","M2",17.89,1.74,1
"QUANT_11_9_2","7/7/2014",188,"new","sink","scio","M2",13.7,0.56,0
"QUANT_11_9_3","7/7/2014",188,"new","bigstoney","scio","F",14.41,1.18,0
"QUANT_16_1_1","7/25/2014",206,"new","lilstoney","scio","M2",17.35,0.86,5
"QUANT_16_1_2","7/25/2014",206,"new","lilstoney","scio","F",19.02,1.57,5
"QUANT_16_1_3","7/25/2014",206,"new","sink","crist","F",8.67,0.08,1
"QUANT_16_1_4","7/25/2014",206,"new","sink","crist","M2",20.56,2.01,0
"QUANT_16_1_5","7/25/2014",206,"new","sink","crist","F",18.94,1.59,0
"QUANT_16_10_1","7/25/2014",206,"new","sink","scio","F",24.73,3.5,31
"QUANT_16_10_2","7/25/2014",206,"new","newriver","scio","M2",27.65,5.82,36
"QUANT_16_10_3","7/25/2014",206,"new","newriver","scio","M2",25.51,3.89,9
"QUANT_16_10_4","7/25/2014",206,"new","lilstoney","crist","F",26.34,3.96,7
"QUANT_16_2_1","7/25/2014",206,"new","sink","crist","F",17.65,1.19,0
"QUANT_16_2_2","7/25/2014",206,"new","bigstoney","crist","F",24.36,3.13,1
"QUANT_16_2_3","7/25/2014",206,"new","bigstoney","crist","F",25.51,0.19,1
"QUANT_16_4_1","7/25/2014",206,"new","toms","scio","F",20.12,2.24,17
"QUANT_16_4_2","7/25/2014",206,"new","bigstoney","scio","M2",19.08,1.8,5
"QUANT_16_4_3","7/25/2014",206,"new","lilstoney","crist","F",11.75,0.31,7
"QUANT_16_5_1","7/25/2014",206,"new","sink","scio","F",15.1,1,6
"QUANT_16_6_1","7/25/2014",206,"new","sink","crist","F",21.83,2.17,1
"QUANT_16_6_2","7/25/2014",206,"new","spruce","scio","F",16.75,1.07,7
"QUANT_16_6_3","7/25/2014",206,"new","sink","crist","F",18,1.14,0
"QUANT_16_6_4","7/25/2014",206,"new","sink","crist","M2",28.08,3.84,2
"QUANT_16_8_1","7/25/2014",206,"new","sink","crist","F",18.04,1.13,0
"QUANT_16_8_2","7/25/2014",206,"new","bigstoney","scio","F",9.96,0.18,1
"QUANT_16_8_3","7/25/2014",206,"new","sink","scio","M2",17.5,1.36,7
"QUANT_16_8_4","7/25/2014",206,"new","spruce","scio","F",12.16,2.44,13
"QUANT_16_8_5","7/25/2014",206,"new","sink","crist","M2",21.21,2.02,2
"QUANT_16_9_1","7/25/2014",206,"new","spruce","scio","M2",21.27,2.11,7
"QUANT_16_9_2","7/25/2014",206,"new","sink","scio","M2",19.44,1.68,11
"QUANT_2_1_1","6/11/2014",162,"new","bigstoney","scio","M2",16.19,1.09,0
"QUANT_2_1_2","6/11/2014",162,"new","sink","scio","M2",14.05,0.64,36
"QUANT_2_1_3","6/11/2014",162,"new","sink","scio","F",15.44,0.83,0
"QUANT_2_1_4","6/11/2014",162,"new","sink","scio","F",16.3,1.08,1
"QUANT_2_1_5","6/11/2014",162,"new","newriver","scio","M2",23.94,3.54,9
"QUANT_2_1_6","6/11/2014",162,"new","bigstoney","scio","F",8.6,0.1,0
"QUANT_2_10_1","6/11/2014",162,"new","bigstoney","scio","M2",16.1,1.6,0
"QUANT_2_10_3","6/11/2014",162,"new","poverty","scio","M2",14.85,0.72,0
"QUANT_2_10_4","6/11/2014",162,"new","sink","scio","M2",27.38,6.1,43
"QUANT_2_2_1","6/11/2014",162,"new","sink","scio","M2",16.03,1.12,1
"QUANT_2_2_2","6/11/2014",162,"new","sink","scio","M2",32.43,11.21,53
"QUANT_2_3_1","6/11/2014",162,"new","sink","scio","M2",14.69,0.97,3
"QUANT_2_3_2","6/11/2014",162,"new","sink","scio","F",13.83,0.6,0
"QUANT_2_3_3","6/11/2014",162,"new","sink","scio","F",16.51,1.12,3
"QUANT_2_3_4","6/11/2014",162,"new","spruce","scio","M2",17.14,1.14,1
"QUANT_2_3_5","6/11/2014",162,"new","lilstoney","scio","F",23.81,3.93,12
"QUANT_2_3_6","6/11/2014",162,"new","sink","scio","F",25.35,3.87,6
"QUANT_2_4_1","6/11/2014",162,"new","lilstoney","scio","F",33.24,10.51,68
"QUANT_2_4_2","6/11/2014",162,"new","sink","scio","F",32.86,10.69,25
"QUANT_2_4_3","6/11/2014",162,"new","sink","scio","M2",36.55,12.39,97
"QUANT_2_5_1","6/11/2014",162,"new","bigstoney","scio","F",23.27,3.41,25
"QUANT_2_5_2","6/11/2014",162,"new","sink","crist","M2",23.88,2.71,7
"QUANT_2_5_3","6/11/2014",162,"new","lilstoney","scio","F",42.89,21.23,38
"QUANT_2_5_4","6/11/2014",162,"new","sink","scio","M2",36.51,12.82,88
"QUANT_2_5_5","6/11/2014",162,"new","bigstoney","scio","M2",16.25,1.29,5
"QUANT_2_6_1","6/11/2014",162,"new","bigstoney","O_sp","M2",13.57,0.69,0
"QUANT_2_6_2","6/11/2014",162,"new","spruce","scio","M2",15.37,0.87,3
"QUANT_2_6_3","6/11/2014",162,"new","spruce","scio","F",8.1,0.1,0
"QUANT_2_6_4","6/11/2014",162,"new","spruce","scio","F",32.15,9.36,0
"QUANT_2_6_5","6/11/2014",162,"new","bigstoney","O_sp","F",19.92,1.38,1
"QUANT_2_7_1","6/11/2014",162,"new","sink","scio","M2",31.7,9.04,33
"QUANT_2_8_1","6/11/2014",162,"new","bigstoney","scio","M2",34.36,9.89,35
"QUANT_2_8_2","6/11/2014",162,"new","sink","scio","F",30.54,8.8,36
"QUANT_2_9_1","6/11/2014",162,"new","sink","scio","M2",15.89,1.12,2
"QUANT_2_9_2","6/11/2014",162,"new","bigstoney","scio","M2",24.19,4.79,16
"QUANT_2_9_3","6/11/2014",162,"new","bigstoney","scio","M2",27.36,5.4,30
"QUANT_2_9_4","6/11/2014",162,"new","lilstoney","scio","M2",25.09,4.75,12
"QUANT_9_4_1","6/17/2014",168,"new","spruce","bart","F",38.5,17.06,40
"QUANT_9_4_2","6/17/2014",168,"new","bigstoney","bart","M2",23.52,5.31,33
"QUANT_9_5_1","6/17/2014",168,"new","lilstoney","bart","F",22.79,3.45,5
"QUANT_9_5_2","6/17/2014",168,"new","poverty","bart","M2",28.57,8.64,0
"QUANT_9_5_3","6/17/2014",168,"new","sink","bart","F",6.27,0.06,28
"QUANT_9_8_1","6/17/2014",168,"new","spruce","bart","M2",32.92,10.3,32
"QUANT_9_8_2","6/17/2014",168,"new","bigstoney","bart","M2",32.36,9.89,74
"QUANT_9_9_1","6/17/2014",168,"new","spruce","bart","F",20.03,2.21,14
"SURV_1","10/7/2011",280,"new","sink","scio","M1",36.15,16.31,74
"SURV_10","10/7/2011",280,"new","sink","scio","F",27.74,6.47,1
"SURV_100","2/27/2012",58,"new","sink","scio","F",40.21,22.76,15
"SURV_101","2/27/2012",58,"new","sink","scio","F",29.35,9.54,60
"SURV_102","2/27/2012",58,"new","sink","scio","F",35.68,17.25,60
"SURV_103","2/27/2012",58,"new","bigstoney","scio","F",23.45,4.25,16
"SURV_104","2/27/2012",58,"new","bigstoney","scio","F",26.03,5.96,35
"SURV_105","2/27/2012",58,"new","toms","scio","F",24.74,5.37,26
"SURV_106","2/27/2012",58,"new","sink","scio","M1",49.32,50.02,30
"SURV_107","2/27/2012",58,"new","bigstoney","scio","M2",30.57,10.35,75
"SURV_108","2/27/2012",58,"new","sink","scio","F",28.79,9.34,16
"SURV_109","2/27/2012",58,"new","sink","scio","F",34.15,14.51,119
"SURV_11","10/7/2011",280,"new","sink","scio","F",31.97,10.43,8
"SURV_110","2/27/2012",58,"new","sink","scio","F",35.36,16.94,31
"SURV_111","2/27/2012",58,"new","sink","scio","M2",19.77,2.44,9
"SURV_112","2/27/2012",58,"new","bigstoney","scio","M1",37.69,22.59,75
"SURV_113","2/27/2012",58,"new","bigstoney","scio","F",22.61,4.01,19
"SURV_114","2/27/2012",58,"new","sink","scio","M1",47.08,46,62
"SURV_115","2/27/2012",58,"new","sink","scio","M1",40.46,27.54,50
"SURV_116","2/27/2012",58,"new","sink","scio","F",36.82,19.41,61
"SURV_117","2/27/2012",58,"new","sink","scio","F",42.64,27.85,45
"SURV_118","2/27/2012",58,"new","sink","scio","F",34.46,14.97,108
"SURV_119","2/27/2012",58,"new","sink","scio","M1",34.98,18.92,53
"SURV_12","10/7/2011",280,"new","sink","scio","M2",34.4,12.36,5
"SURV_120","2/27/2012",58,"new","lilstoney","scio","M1",38.02,24.67,69
"SURV_121","2/27/2012",58,"new","bigstoney","scio","M2",45.42,33.15,58
"SURV_122","2/27/2012",58,"new","bigstoney","bart","F",34.4,16.38,97
"SURV_123","2/27/2012",58,"new","sink","scio","M1",33.66,15.1,68
"SURV_124","2/27/2012",58,"new","bigstoney","scio","M2",23.47,4.31,13
"SURV_125","2/27/2012",58,"new","bigstoney","scio","F",42.95,28.22,80
"SURV_126","2/27/2012",58,"new","sink","scio","M1",35.35,19.31,109
"SURV_127","2/27/2012",58,"new","bigstoney","scio","F",22.28,3.67,2
"SURV_128","2/27/2012",58,"new","sink","scio","F",21.05,3.24,6
"SURV_129","2/27/2012",58,"new","bigstoney","scio","F",20.98,3.33,15
"SURV_13","10/7/2011",280,"new","bigstoney","scio","M2",30.06,8.1,9
"SURV_130","2/27/2012",58,"new","lilstoney","scio","M1",34.07,17.66,68
"SURV_131","2/27/2012",58,"new","bigstoney","scio","M2",24.95,5.55,33
"SURV_132","2/27/2012",58,"new","sink","scio","M2",42.67,27.43,44
"SURV_133","2/27/2012",58,"new","bigstoney","scio","F",33.7,13.59,7
"SURV_134","2/27/2012",58,"new","sink","scio","M1",37.24,19.23,52
"SURV_135","2/27/2012",58,"new","sink","scio","M2",20.07,2.39,6
"SURV_136","2/27/2012",58,"new","bigstoney","scio","M1",31.5,12.17,31
"SURV_137","2/27/2012",58,"new","sink","scio","M2",29.57,10.31,76
"SURV_138","2/27/2012",58,"new","bigstoney","scio","M2",17.9,1.6,9
"SURV_139","2/27/2012",58,"new","bigstoney","scio","F",29.49,9.5,34
"SURV_14","10/7/2011",280,"new","bigstoney","scio","M1",33.37,13.01,23
"SURV_140","2/27/2012",58,"new","sink","scio","F",21.03,3.38,18
"SURV_141","2/27/2012",58,"new","sink","scio","M2",41.9,29.8,73
"SURV_142","2/27/2012",58,"new","spruce","scio","F",32.52,12.64,54
"SURV_143","2/27/2012",58,"new","lilstoney","scio","F",18.42,1.98,7
"SURV_144","3/17/2012",77,"new","sink","scio","F",19.37,2.13,1
"SURV_145","3/17/2012",77,"new","poverty","scio","F",40.05,20.89,7
"SURV_146","3/17/2012",77,"new","sink","scio","F",20.33,2.87,4
"SURV_147","3/17/2012",77,"new","bigstoney","scio","F",41.43,16.67,25
"SURV_148","3/17/2012",77,"new","spruce","scio","F",44.58,21.41,37
"SURV_149","3/17/2012",77,"new","bigstoney","scio","M2",44.17,30.67,12
"SURV_15","10/7/2011",280,"new","sink","scio","M1",35.16,12.64,8
"SURV_150","3/17/2012",77,"new","lilstoney","scio","M2",17.11,1.43,0
"SURV_151","3/17/2012",77,"new","bigstoney","bart","M1",47,36.36,29
"SURV_152","3/17/2012",77,"new","spruce","scio","F",39.32,19.05,9
"SURV_153","3/17/2012",77,"new","bigstoney","scio","F",18.33,2.14,1
"SURV_154","3/17/2012",77,"new","poverty","scio","F",36.31,17.69,44
"SURV_155","3/17/2012",77,"new","bigstoney","bart","M1",35.82,17.02,17
"SURV_156","3/17/2012",77,"new","bigstoney","scio","F",46.01,35.81,18
"SURV_157","3/17/2012",77,"new","sink","scio","F",37.58,16.51,6
"SURV_158","3/17/2012",77,"new","bigstoney","scio","F",37.36,19.4,17
"SURV_159","3/17/2012",77,"new","sink","scio","F",43.36,27.37,93
