"","DATE","JULIAN_DAY","WATERSHED","STREAM","SPEC","SEX","CL","MASS","worms"
"SURV_160","3/17/2012",77,"new","sink","scio","F",44.76,27.41,1
"SURV_161","3/17/2012",77,"new","bigstoney","scio","F",35.57,15.8,18
"SURV_162","3/17/2012",77,"new","spruce","scio","F",24.66,4.83,7
"SURV_163","3/17/2012",77,"new","lilstoney","bart","F",36.71,17.81,8
"SURV_164","3/17/2012",77,"new","bigstoney","scio","M1",42.71,29.76,168
"SURV_165","3/17/2012",77,"new","sink","scio","F",48.32,36.82,18
"SURV_166","3/17/2012",77,"new","sink","scio","M2",18.44,1.83,1
"SURV_167","3/17/2012",77,"new","lilstoney","scio","M2",19.84,2.44,3
"SURV_168","3/17/2012",77,"new","sink","scio","M1",46.03,23.13,187
"SURV_169","3/17/2012",77,"new","bigstoney","scio","F",56.64,60.74,82
"SURV_17","10/14/2011",287,"new","bigstoney","scio","M1",35.32,13.41,1
"SURV_170","3/17/2012",77,"new","lilstoney","scio","F",52.52,52.83,71
"SURV_171","3/17/2012",77,"new","bigstoney","scio","F",36.89,17.5,58
"SURV_172","3/17/2012",77,"new","sink","scio","M1",48.5,33.04,12
"SURV_173","3/17/2012",77,"new","sink","scio","F",47.15,38.24,8
"SURV_174","3/17/2012",77,"new","sink","scio","M2",27.52,6.33,22
"SURV_175","3/17/2012",77,"new","sink","scio","M1",44.81,38.12,119
"SURV_176","3/17/2012",77,"new","poverty","scio","F",38.43,19.89,160
"SURV_177","3/17/2012",77,"new","sink","scio","F",42.3,24.11,16
"SURV_178","3/17/2012",77,"new","bigstoney","scio","M2",44.63,36.28,107
"SURV_179","3/17/2012",77,"new","sink","scio","F",41.32,25.25,137
"SURV_18","10/14/2011",287,"new","sink","scio","F",44.27,30.72,1
"SURV_180","3/17/2012",77,"new","bigstoney","scio","M1",49.2,53.05,179
"SURV_181","3/17/2012",77,"new","spruce","scio","F",39.12,21.32,113
"SURV_182","3/17/2012",77,"new","lilstoney","scio","M2",28.88,7.82,49
"SURV_183","3/17/2012",77,"new","toms","scio","F",42.37,21.21,213
"SURV_184","3/17/2012",77,"new","toms","scio","M2",43.32,30.69,93
"SURV_185","3/17/2012",77,"new","bigstoney","scio","M1",43.08,31.69,129
"SURV_186","3/17/2012",77,"new","sink","scio","F",33.89,13.23,131
"SURV_187","3/17/2012",77,"new","bigstoney","scio","M1",48.91,46.16,159
"SURV_188","3/17/2012",77,"new","toms","scio","F",44.02,27.3,9
"SURV_189","3/17/2012",77,"new","sink","scio","M1",36.23,17.85,134
"SURV_19","10/14/2011",287,"new","lilstoney","scio","M2",35.78,12.71,5
"SURV_190","3/20/2012",80,"new","lilstoney","bart","M2",33.92,12.7,29
"SURV_191","3/20/2012",80,"new","spruce","bart","M2",27.77,6.29,18
"SURV_192","3/20/2012",80,"new","sink","bart","M2",33.32,12.21,51
"SURV_193","3/20/2012",80,"new","lilstoney","bart","F",28.53,7.19,27
"SURV_194","3/20/2012",80,"new","poverty","bart","F",28.11,6.51,22
"SURV_195","3/20/2012",80,"new","bigstoney","bart","F",18.46,1.61,1
"SURV_196","3/20/2012",80,"new","sink","bart","M1",33.88,11.34,23
"SURV_197","3/20/2012",80,"new","lilstoney","bart","F",24.6,4.37,14
"SURV_198","3/20/2012",80,"new","poverty","bart","F",21.49,2.84,12
"SURV_199","3/20/2012",80,"new","sink","bart","F",30.46,9.06,36
"SURV_2","10/7/2011",280,"new","spruce","scio","M2",33.47,12.5,33
"SURV_20","10/14/2011",287,"new","sink","scio","M2",42.19,26.05,6
"SURV_200","3/20/2012",80,"new","poverty","bart","F",26.47,5.4,16
"SURV_201","3/20/2012",80,"new","sink","bart","M2",35.47,14.14,26
"SURV_202","3/20/2012",80,"new","sink","bart","F",21.39,2.88,10
"SURV_203","3/20/2012",80,"new","sink","bart","M1",28.32,6.54,17
"SURV_204","3/20/2012",80,"new","sink","bart","M2",19.92,2.1,4
"SURV_205","3/20/2012",80,"new","toms","bart","F",33.01,12.02,36
"SURV_206","3/20/2012",80,"new","sink","bart","F",21.01,2.91,1
"SURV_207","3/20/2012",80,"new","bigstoney","bart","M1",32.01,10.74,37
"SURV_208","3/20/2012",80,"new","sink","bart","M2",21.88,3.08,16
"SURV_209","3/20/2012",80,"new","spruce","bart","F",17.14,1.29,0
"SURV_21","10/14/2011",287,"new","sink","scio","M1",38.55,20.78,9
"SURV_210","3/20/2012",80,"new","poverty","bart","F",38.18,16.07,43
"SURV_211","3/20/2012",80,"new","bigstoney","bart","F",31.91,10.49,14
"SURV_212","3/20/2012",80,"new","bigstoney","bart","F",31.72,10.36,45
"SURV_213","3/20/2012",80,"new","sink","bart","F",32.25,10.64,40
"SURV_214","3/20/2012",80,"new","toms","bart","M2",25.01,4.79,18
"SURV_215","3/20/2012",80,"new","bigstoney","bart","F",25.25,5.04,14
"SURV_216","3/20/2012",80,"new","sink","bart","M2",24.06,3.82,20
"SURV_217","3/20/2012",80,"new","lilstoney","bart","F",35.13,13.62,32
"SURV_218","3/20/2012",80,"new","poverty","bart","M2",27.87,6.78,10
"SURV_219","3/20/2012",80,"new","sink","bart","M2",34.16,13.4,59
"SURV_22","10/14/2011",287,"new","bigstoney","scio","M1",41.52,26.38,1
"SURV_220","4/14/2012",105,"new","sink","scio","F",37.35,17.2,2
"SURV_221","4/14/2012",105,"new","spruce","scio","F",38.5,20.68,1
"SURV_222","4/14/2012",105,"new","sink","scio","F",39.69,20.05,10
"SURV_223","4/14/2012",105,"new","newriver","scio","M1",39.07,21.19,5
"SURV_224","4/14/2012",105,"new","lilstoney","scio","F",37.06,17.2,3
"SURV_225","4/14/2012",105,"new","bigstoney","scio","F",37.25,15.12,37
"SURV_226","4/14/2012",105,"new","sink","scio","F",38.03,16.09,34
"SURV_227","4/14/2012",105,"new","sink","scio","M2",39.55,18.42,50
"SURV_228","4/14/2012",105,"new","sink","scio","F",23.65,4.11,19
"SURV_229","4/14/2012",105,"new","bigstoney","scio","F",35.42,12.2,30
"SURV_23","10/14/2011",287,"new","sink","scio","M2",35.43,14.66,1
"SURV_230","4/14/2012",105,"new","bigstoney","scio","F",37.8,15.16,17
"SURV_231","4/14/2012",105,"new","sink","scio","F",30.44,8.31,26
"SURV_232","4/14/2012",105,"new","poverty","scio","F",40.58,21.26,19
"SURV_233","4/14/2012",105,"new","bigstoney","scio","M2",38.49,18.21,38
"SURV_234","4/14/2012",105,"new","lilstoney","scio","F",34.39,11.79,66
"SURV_235","4/14/2012",105,"new","sink","crist","M2",21.38,2.52,0
"SURV_236","4/14/2012",105,"new","sink","scio","F",29.63,7.64,17
"SURV_237","4/14/2012",105,"new","sink","crist","M2",29.91,6.7,32
"SURV_239","4/14/2012",105,"new","bigstoney","scio","M2",30.33,8.45,70
"SURV_24","10/14/2011",287,"new","bigstoney","scio","M1",33.28,11.5,1
"SURV_240","4/14/2012",105,"new","toms","scio","F",30.32,8.84,0
"SURV_241","4/14/2012",105,"new","sink","crist","M2",34.38,11,56
"SURV_242","4/14/2012",105,"new","sink","scio","M2",37.22,17.39,31
"SURV_243","4/14/2012",105,"new","sink","scio","F",41.12,20.09,7
"SURV_244","4/14/2012",105,"new","sink","crist","M2",33.84,11.27,22
"SURV_245","4/14/2012",105,"new","sink","crist","M2",28.85,7.85,36
"SURV_246","4/14/2012",105,"new","sink","crist","M2",34.76,14.23,39
"SURV_247","5/12/2012",133,"new","lilstoney","bart","M2",30.65,8.84,18
"SURV_248","5/12/2012",133,"new","poverty","bart","M2",26.55,5.26,12
"SURV_249","5/12/2012",133,"new","bigstoney","bart","F",22.85,4.23,5
"SURV_25","10/14/2011",287,"new","bigstoney","scio","M2",28.53,7.08,0
"SURV_250","5/12/2012",133,"new","sink","bart","M2",27.69,6.32,1
"SURV_251","5/12/2012",133,"new","sink","bart","F",40.99,20.68,26
"SURV_252","5/12/2012",133,"new","sink","bart","M2",32.19,10.64,4
"SURV_253","5/12/2012",133,"new","sink","bart","M1",38.98,19.92,27
"SURV_256","5/31/2012",152,"new","lilstoney","scio","M1",34.15,13.72,92
"SURV_257","5/31/2012",152,"new","bigstoney","scio","M1",33.48,12.19,83
"SURV_258","5/31/2012",152,"new","sink","scio","M1",38.47,17.76,49
"SURV_259","5/31/2012",152,"new","newriver","scio","M2",25.6,4.4,18
"SURV_26","10/14/2011",287,"new","bigstoney","scio","M1",37.9,19.37,2
"SURV_260","5/31/2012",152,"new","sink","scio","F",13.84,0.72,1
"SURV_261","5/31/2012",152,"new","sink","scio","M2",34.04,12.99,86
"SURV_262","5/31/2012",152,"new","bigstoney","scio","F",34.1,12.56,79
"SURV_263","5/31/2012",152,"new","sink","scio","F",20.5,2.02,8
"SURV_264","5/31/2012",152,"new","toms","scio","M2",26.38,5.8,26
"SURV_265","5/31/2012",152,"new","lilstoney","scio","F",16.34,0.91,3
"SURV_266","5/31/2012",152,"new","lilstoney","scio","F",35.85,13.96,96
"SURV_267","5/31/2012",152,"new","lilstoney","scio","F",18.15,1.16,4
"SURV_268","5/31/2012",152,"new","bigstoney","scio","F",37.04,15.37,35
"SURV_269","5/31/2012",152,"new","bigstoney","scio","F",34.3,12.05,24
"SURV_27","10/14/2011",287,"new","sink","scio","F",47.26,32.41,57
"SURV_270","5/31/2012",152,"new","poverty","scio","M2",27.65,5.52,11
"SURV_271","5/31/2012",152,"new","bigstoney","scio","F",28.86,6.16,24
"SURV_272","5/31/2012",152,"new","bigstoney","scio","F",34.2,13.7,28
"SURV_273","5/31/2012",152,"new","sink","scio","M2",23.73,3.89,11
"SURV_274","5/31/2012",152,"new","bigstoney","scio","M2",22.43,3.34,19
"SURV_275","5/31/2012",152,"new","lilstoney","scio","M1",34.21,18.79,56
"SURV_276","5/31/2012",152,"new","sink","scio","F",34.03,14.11,48
"SURV_277","5/31/2012",152,"new","sink","scio","M2",30.65,9.44,42
"SURV_278","5/31/2012",152,"new","bigstoney","scio","F",18.96,2.25,5
"SURV_279","5/31/2012",152,"new","toms","scio","M2",19.07,2.05,3
"SURV_28","10/14/2011",287,"new","bigstoney","scio","F",45.24,23,35
"SURV_280","5/31/2012",152,"new","sink","scio","M2",28.22,7.26,24
"SURV_281","5/31/2012",152,"new","toms","scio","M2",29.55,8.81,33
"SURV_282","5/31/2012",152,"new","spruce","scio","F",16.23,1.81,1
"SURV_283","5/31/2012",152,"new","sink","scio","M2",31.94,10.7,18
"SURV_284","5/31/2012",152,"new","bigstoney","scio","M2",32.33,10.4,23
"SURV_285","5/31/2012",152,"new","bigstoney","scio","F",17.55,2.07,20
"SURV_286","5/31/2012",152,"new","bigstoney","scio","F",36.9,13.21,6
"SURV_287","5/31/2012",152,"new","bigstoney","scio","F",26.27,5.88,26
"SURV_288","5/31/2012",152,"new","bigstoney","scio","F",25.43,6.39,12
"SURV_289","5/31/2012",152,"new","sink","scio","M1",38.54,18.62,23
"SURV_29","10/14/2011",287,"new","sink","scio","F",39.47,17.07,9
"SURV_290","5/31/2012",152,"new","sink","scio","F",21.92,3.09,5
"SURV_291","5/31/2012",152,"new","lilstoney","scio","M2",19.12,2.03,2
"SURV_292","5/31/2012",152,"new","spruce","bart","F",42.3,29.29,27
"SURV_293","5/31/2012",152,"new","sink","scio","F",19.35,2.06,5
"SURV_294","5/31/2012",152,"new","bigstoney","scio","M2",30.81,9.74,16
"SURV_295","5/31/2012",152,"new","sink","scio","F",34.41,14.72,23
"SURV_296","5/31/2012",152,"new","lilstoney","scio","M2",26.71,8.79,22
"SURV_297","5/31/2012",152,"new","poverty","scio","M2",50.97,46.45,17
"SURV_298","5/31/2012",152,"new","sink","scio","M1",36.92,18.54,28
"SURV_299","6/22/2012",174,"new","sink","scio","M1",40.08,18.86,14
"SURV_3","10/7/2011",280,"new","sink","scio","F",50.57,36.99,133
"SURV_30","10/14/2011",287,"new","sink","scio","F",40.6,17.57,21
"SURV_300","6/22/2012",174,"new","sink","scio","M2",34.81,13.45,25
"SURV_301","6/22/2012",174,"new","spruce","scio","M1",29.7,8.14,1
"SURV_302","6/22/2012",174,"new","poverty","crist","F",29.55,6.64,2
"SURV_303","6/22/2012",174,"new","sink","crist","F",33.02,8.42,1
"SURV_304","6/22/2012",174,"new","sink","scio","M2",36.49,18.58,18
"SURV_305","6/22/2012",174,"new","sink","scio","M1",44.4,36.2,26
"SURV_306","6/22/2012",174,"new","bigstoney","scio","F",35.22,15.57,11
"SURV_307","6/22/2012",174,"new","newriver","crist","M2",30.42,8.09,5
"SURV_308","6/22/2012",174,"new","bigstoney","crist","F",23.98,2.94,2
"SURV_309","6/22/2012",174,"new","lilstoney","crist","M2",27.48,4.88,1
"SURV_31","10/14/2011",287,"new","sink","bart","M1",32.68,12.94,38
"SURV_310","6/22/2012",174,"new","bigstoney","scio","M2",30.13,9.01,14
"SURV_311","6/22/2012",174,"new","spruce","scio","M1",40.36,26.54,17
"SURV_312","6/22/2012",174,"new","bigstoney","scio","M2",38.01,21.27,12
"SURV_313","6/22/2012",174,"new","sink","crist","F",33.4,8.95,4
"SURV_314","6/22/2012",174,"new","lilstoney","scio","M2",37.36,17.22,25
"SURV_315","6/22/2012",174,"new","sink","crist","M2",35.65,11.05,5
"SURV_316","6/22/2012",174,"new","sink","crist","M2",30.22,7.24,0
"SURV_317","6/22/2012",174,"new","newriver","scio","M2",34.27,11.65,18
"SURV_318","6/22/2012",174,"new","bigstoney","scio","F",34.85,14.24,33
"SURV_319","6/22/2012",174,"new","toms","scio","F",31.17,9.57,9
"SURV_32","10/14/2011",287,"new","sink","bart","M2",26.22,5.56,4
"SURV_320","6/22/2012",174,"new","lilstoney","scio","M2",38.5,20.41,31
"SURV_321","6/22/2012",174,"new","newriver","crist","M2",31.2,7.12,7
"SURV_322","6/22/2012",174,"new","sink","scio","M2",26.92,6.27,6
"SURV_323","6/22/2012",174,"new","sink","scio","F",24.9,4.11,2
"SURV_324","6/22/2012",174,"new","bigstoney","scio","F",32.54,11.7,15
"SURV_325","6/22/2012",174,"new","bigstoney","scio","M2",28.93,8.54,1
"SURV_326","6/22/2012",174,"new","bigstoney","crist","F",23.9,3.15,0
"SURV_327","6/22/2012",174,"new","bigstoney","scio","M2",32.48,12.63,1
"SURV_328","6/22/2012",174,"new","toms","scio","M2",23.88,4.31,1
"SURV_33","10/14/2011",287,"new","sink","scio","F",29.84,6.95,11
"SURV_34","10/14/2011",287,"new","sink","scio","F",34.15,11.69,5
"SURV_348","6/22/2012",174,"new","sink","crist","M2",27.17,4.63,0
"SURV_35","10/14/2011",287,"new","bigstoney","bart","M2",23.32,3.65,0
"SURV_36","10/14/2011",287,"new","bigstoney","scio","F",43.14,25.37,20
"SURV_37","10/14/2011",287,"new","sink","scio","F",33.41,10.83,1
"SURV_38","10/14/2011",287,"new","lilstoney","bart","F",34.54,14.15,12
"SURV_39","10/14/2011",287,"new","bigstoney","scio","F",22.9,3.82,4
"SURV_396","9/15/2012",259,"new","sink","scio","F",46.81,30.16,59
"SURV_397","9/15/2012",259,"new","bigstoney","scio","M2",41.05,22.39,71
"SURV_398","9/15/2012",259,"new","spruce","scio","M2",40.19,21.49,31
"SURV_399","9/15/2012",259,"new","sink","scio","F",42.3,21.62,14
"SURV_4","10/7/2011",280,"new","lilstoney","scio","M1",47.32,29.54,64
"SURV_40","10/14/2011",287,"new","sink","bart","F",26.86,5.46,3
"SURV_400","9/15/2012",259,"new","bigstoney","scio","F",43.65,29.1,23
"SURV_401","9/15/2012",259,"new","spruce","scio","F",50.38,36.06,70
"SURV_402","9/15/2012",259,"new","lilstoney","scio","M2",41.72,23.78,43
"SURV_403","9/15/2012",259,"new","sink","scio","M2",27.22,5.73,23
"SURV_404","9/15/2012",259,"new","toms","scio","M2",42.41,25.89,20
"SURV_405","9/15/2012",259,"new","sink","scio","F",43,23.2,42
"SURV_406","9/15/2012",259,"new","spruce","scio","M2",44.23,25.09,14
"SURV_407","9/15/2012",259,"new","spruce","scio","F",39.49,19.97,48
"SURV_408","9/15/2012",259,"new","toms","scio","F",40.08,22.74,77
"SURV_409","9/15/2012",259,"new","sink","scio","M2",38.72,20.63,136
"SURV_41","10/14/2011",287,"new","sink","bart","F",28.09,7.51,3
"SURV_410","9/15/2012",259,"new","sink","scio","F",37.07,16.86,33
"SURV_411","9/15/2012",259,"new","spruce","scio","M2",42.43,21.43,63
"SURV_412","9/15/2012",259,"new","lilstoney","scio","M2",40.82,21.55,94
"SURV_413","9/15/2012",259,"new","sink","scio","F",38.5,19.04,51
"SURV_414","9/15/2012",259,"new","poverty","scio","F",41.07,25.43,82
"SURV_415","9/15/2012",259,"new","bigstoney","scio","M2",37.55,14.04,14
"SURV_416","9/15/2012",259,"new","bigstoney","scio","M2",52.67,47.32,91
"SURV_417","9/15/2012",259,"new","toms","scio","M2",41.17,24.21,58
"SURV_418","9/15/2012",259,"new","sink","scio","M2",41.5,23.37,106
"SURV_419","9/15/2012",259,"new","spruce","scio","F",35.16,14.79,45
"SURV_42","10/14/2011",287,"new","sink","scio","F",28.79,9.25,1
"SURV_420","9/20/2012",264,"new","sink","bart","M2",35.73,12.03,31
"SURV_421","9/20/2012",264,"new","spruce","bart","M2",32.81,10.17,30
"SURV_422","9/20/2012",264,"new","sink","bart","F",33.38,10.62,40
"SURV_423","9/20/2012",264,"new","bigstoney","bart","M2",24.5,6.32,26
"SURV_424","9/20/2012",264,"new","sink","bart","M2",32.46,10.08,60
"SURV_425","9/20/2012",264,"new","sink","bart","F",30.49,8.07,33
"SURV_426","9/20/2012",264,"new","newriver","bart","M2",27.96,6.49,6
"SURV_427","9/20/2012",264,"new","sink","bart","M2",32.31,9.77,21
"SURV_428","9/30/2012",274,"new","bigstoney","bart","F",26.54,5.42,11
"SURV_429","9/30/2012",274,"new","poverty","bart","F",29.04,6.41,28
"SURV_43","10/14/2011",287,"new","sink","bart","F",25.65,4.85,1
"SURV_430","9/30/2012",274,"new","sink","bart","M2",25.68,5.3,4
"SURV_431","10/6/2012",280,"new","sink","bart","F",29.62,9.28,2
"SURV_432","10/6/2012",280,"new","sink","bart","M2",30.9,8.19,1
"SURV_433","10/6/2012",280,"new","sink","bart","M2",31.16,10.82,3
"SURV_434","10/6/2012",280,"new","bigstoney","bart","F",26.01,5.21,0
"SURV_436","10/6/2012",280,"new","sink","bart","F",32.96,11.74,0
"SURV_44","10/14/2011",287,"new","spruce","bart","M2",17.83,1.63,1
"SURV_45","10/14/2011",287,"new","bigstoney","bart","F",26.53,5.82,17
"SURV_451","2/12/2013",43,"new","poverty","scio","F",34.17,13.26,58
"SURV_452","2/12/2013",43,"new","spruce","scio","F",35.32,13.21,65
"SURV_453","2/12/2013",43,"new","lilstoney","scio","F",30.33,7.35,43
"SURV_454","2/12/2013",43,"new","sink","scio","M2",39.08,19.08,54
"SURV_455","2/12/2013",43,"new","lilstoney","scio","F",33.97,13.09,57
"SURV_456","2/12/2013",43,"new","bigstoney","scio","M2",50.83,51.32,109
"SURV_457","2/12/2013",43,"new","bigstoney","scio","M2",40.25,22.89,35
"SURV_458","2/12/2013",43,"new","sink","scio","F",36.42,14.17,65
"SURV_459","2/12/2013",43,"new","sink","scio","M2",40.19,25.75,65
"SURV_46","10/14/2011",287,"new","spruce","scio","F",19.23,2.38,2
"SURV_460","2/12/2013",43,"new","poverty","scio","M2",49.65,47.11,104
"SURV_461","2/12/2013",43,"new","bigstoney","scio","M2",32.34,9.78,63
"SURV_462","2/12/2013",43,"new","poverty","scio","M2",46.38,35.41,46
"SURV_463","2/12/2013",43,"new","bigstoney","scio","M2",40.9,24.84,128
"SURV_464","2/12/2013",43,"new","sink","scio","M2",32.47,9.995,59
"SURV_465","2/12/2013",43,"new","bigstoney","scio","F",36.45,15.76,52
"SURV_466","2/12/2013",43,"new","lilstoney","scio","F",37.6,16.2,71
"SURV_467","2/12/2013",43,"new","sink","scio","M2",37.07,11.69,14
"SURV_468","2/12/2013",43,"new","bigstoney","scio","F",32.79,9.79,39
"SURV_469","2/12/2013",43,"new","sink","scio","M2",44.07,23.07,55
"SURV_47","1/31/2012",31,"new","sink","scio","M2",48.59,40.86,141
"SURV_470","2/12/2013",43,"new","spruce","scio","M2",40.17,21.04,70
"SURV_471","2/12/2013",43,"new","poverty","scio","F",34.7,8.68,23
"SURV_472","2/12/2013",43,"new","spruce","crist","M2",15.56,1.03,3
"SURV_473","2/12/2013",43,"new","sink","scio","M2",44.82,28.48,94
"SURV_474","2/12/2013",43,"new","lilstoney","scio","F",24.67,3.56,10
"SURV_475","2/12/2013",43,"new","toms","scio","F",29.18,7.17,21
"SURV_48","1/31/2012",31,"new","lilstoney","scio","M2",45.64,36.25,142
"SURV_49","1/31/2012",31,"new","lilstoney","scio","M1",42.6,28.21,80
"SURV_5","10/7/2011",280,"new","sink","scio","M1",43.14,27.86,47
"SURV_50","1/31/2012",31,"new","bigstoney","scio","M1",48.56,44.9,122
"SURV_51","1/31/2012",31,"new","sink","scio","F",39.51,21.04,95
"SURV_52","1/31/2012",31,"new","sink","scio","F",35.24,15.5,18
"SURV_53","1/31/2012",31,"new","toms","scio","F",30.49,9.26,50
"SURV_54","2/1/2012",32,"new","bigstoney","scio","M2",22.88,3.03,2
"SURV_55","2/1/2012",32,"new","sink","scio","F",20.9,2.33,1
"SURV_56","2/1/2012",32,"new","lilstoney","bart","M2",23.59,3.6,6
"SURV_57","2/1/2012",32,"new","sink","virilis","F",32.15,7.64,3
"SURV_58","2/1/2012",32,"new","sink","virilis","M1",34.36,13.33,8
"SURV_59","2/1/2012",32,"new","sink","bart","M2",36.31,13.45,7
"SURV_6","10/7/2011",280,"new","bigstoney","scio","F",35.58,15.37,66
"SURV_60","2/1/2012",32,"new","sink","scio","M2",23.78,3.26,0
"SURV_61","2/1/2012",32,"new","poverty","scio","M2",24.08,3.6,6
"SURV_62","2/1/2012",32,"new","sink","scio","F",21.57,2.99,2
"SURV_63","2/17/2012",48,"new","bigstoney","scio","M2",44.44,36.11,54
"SURV_64","2/17/2012",48,"new","bigstoney","scio","M2",41.97,27.31,64
"SURV_65","2/17/2012",48,"new","sink","scio","F",38.46,21.2,42
"SURV_66","2/17/2012",48,"new","toms","scio","M1",39.73,26.86,84
"SURV_67","2/17/2012",48,"new","bigstoney","scio","M1",36.45,18.12,31
"SURV_68","2/17/2012",48,"new","bigstoney","scio","F",31.59,11.45,53
"SURV_69","2/17/2012",48,"new","sink","scio","M1",36.89,22.23,38
"SURV_7","10/7/2011",280,"new","sink","scio","F",35,15.08,15
"SURV_70","2/17/2012",48,"new","sink","scio","F",33.94,12.62,18
"SURV_71","2/27/2012",58,"new","sink","scio","M2",31.19,10.45,28
"SURV_72","2/27/2012",58,"new","sink","scio","F",39.68,23.69,65
"SURV_73","2/27/2012",58,"new","spruce","scio","M1",32.89,13.75,23
"SURV_74","2/27/2012",58,"new","sink","scio","F",32.86,14.2,70
"SURV_75","2/27/2012",58,"new","spruce","scio","M1",38.64,25.27,48
"SURV_76","2/27/2012",58,"new","spruce","scio","F",30.39,9.95,30
"SURV_77","2/27/2012",58,"new","sink","scio","F",38.91,18.62,13
"SURV_78","2/27/2012",58,"new","toms","scio","F",19.67,2.52,6
"SURV_79","2/27/2012",58,"new","bigstoney","scio","M2",23.61,4.15,12
"SURV_8","10/7/2011",280,"new","sink","scio","M2",40.16,22.5,10
"SURV_80","2/27/2012",58,"new","sink","scio","F",18.92,2.32,3
"SURV_81","2/27/2012",58,"new","poverty","scio","F",34.94,16.43,9
"SURV_82","2/27/2012",58,"new","sink","scio","F",31.66,13.04,93
"SURV_83","2/27/2012",58,"new","bigstoney","scio","F",26.88,6.75,15
"SURV_84","2/27/2012",58,"new","newriver","scio","M1",48.73,49.21,53
"SURV_85","2/27/2012",58,"new","sink","scio","F",35.72,16.55,37
"SURV_86","2/27/2012",58,"new","sink","scio","M1",43.37,31.69,40
"SURV_87","2/27/2012",58,"new","sink","scio","M2",24.36,5.58,12
"SURV_88","2/27/2012",58,"new","spruce","scio","M2",21.34,3.99,29
"SURV_89","2/27/2012",58,"new","lilstoney","scio","M2",19.26,2.38,16
"SURV_90","2/27/2012",58,"new","sink","scio","M2",29.64,9.63,16
"SURV_91","2/27/2012",58,"new","sink","scio","M2",26.21,7.05,26
"SURV_92","2/27/2012",58,"new","spruce","scio","F",33.8,13.94,10
"SURV_93","2/27/2012",58,"new","spruce","scio","M2",22.03,3.61,20
"SURV_94","2/27/2012",58,"new","bigstoney","scio","F",33.08,14.28,5
"SURV_95","2/27/2012",58,"new","sink","scio","F",35.09,15.3,10
"SURV_96","2/27/2012",58,"new","spruce","scio","F",36.59,18.7,12
"SURV_97","2/27/2012",58,"new","bigstoney","scio","F",29.49,9.04,90
"SURV_98","2/27/2012",58,"new","bigstoney","scio","F",33.52,14.43,24
"SURV_99","2/27/2012",58,"new","sink","scio","F",40.25,20.25,6
