Year,Cluster,Species,Constructor,Adults,cav_ht_ft,cav_age,eggs_laid,hatched_eggs,failed_eggs
2006,clus_80,longleaf,RCW,2,30,87,4,2,2
2006,clus_81,longleaf,Human,3,15,73,4,2,2
2006,clus_84,longleaf,RCW,2,23,77,3,0,3
2006,clus_90,loblolly,RCW,2,35,101,3,0,3
2007,clus_3,longleaf,Human,4,21,164,3,3,0
2007,clus_4,longleaf,RCW,2,15,67,4,2,2
2007,clus_5,longleaf,RCW,2,17,70,3,2,1
2007,clus_6,longleaf,RCW,2,15,76,3,2,1
2007,clus_7,longleaf,RCW,5,17,78,3,3,0
2007,clus_8,longleaf,RCW,2,26,170,3,2,1
2007,clus_9,longleaf,RCW,3,25,87,4,2,2
2007,clus_12,longleaf,Human,4,20,132,4,3,1
2007,clus_14,longleaf,RCW,4,20,137,3,2,1
2007,clus_17,longleaf,Human,5,20,105,4,3,1
2007,clus_20,longleaf,Human,4,20,71,3,2,1
2007,clus_27,longleaf,RCW,2,12,70,3,1,2
2007,clus_29,longleaf,Human,3,20,129,4,2,2
2007,clus_33,pond pine,RCW,2,17,60,2,1,1
2007,clus_36,longleaf,Human,2,20,92,3,2,1
2007,clus_37,longleaf,RCW,2,25,133,3,2,1
2007,clus_39,longleaf,Human,3,15,141,4,3,1
2007,clus_40,longleaf,Human,3,15,87,2,1,1
2007,clus_42,longleaf,RCW,3,16,72,4,3,1
2007,clus_44,longleaf,Human,4,11,70,3,3,0
2007,clus_45,longleaf,Human,2,22,72,3,3,0
2007,clus_46,longleaf,Human,3,16,65,4,2,2
2007,clus_48,loblolly,RCW,2,14,64,3,0,3
2007,clus_49,longleaf,RCW,2,12,72,3,2,1
2007,clus_50,longleaf,Human,4,15,90,4,3,1
2007,clus_52,longleaf,RCW,3,10,82,4,1,3
2007,clus_53,longleaf,RCW,3,20,60,2,0,2
2007,clus_55,longleaf,Human,5,20,62,4,4,0
2007,clus_56,longleaf,Human,2,20,90,3,3,0
2007,clus_58,longleaf,Human,3,20,80,3,3,0
2007,clus_59,longleaf,RCW,3,15,74,4,2,2
2007,clus_61,loblolly,RCW,2,43,92,3,3,0
2007,clus_63,longleaf,Human,4,20,80,4,3,1
2007,clus_65,loblolly,Human,2,20,103,2,2,0
2007,clus_66,longleaf,Human,2,20,78,3,2,1
2007,clus_69,longleaf,Human,2,20,97,4,3,1
2007,clus_71,loblolly,RCW,3,30,75,4,2,2
2007,clus_74,longleaf,Human,3,20,78,5,3,2
2007,clus_75,loblolly,RCW,4,15,70,3,2,1
2007,clus_76,longleaf,Human,2,20,71,3,3,0
2007,clus_79,longleaf,Human,3,15,69,4,2,2
2007,clus_84,longleaf,RCW,2,23,77,4,2,2
2007,clus_90,longleaf,Human,2,20,91,2,1,1
2007,clus_92,longleaf,Human,2,20,78,3,3,0
2007,clus_98,longleaf,Human,2,20,76,2,2,0
2008,clus_1,loblolly,RCW,4,25,82,4,3,1
2008,clus_2,longleaf,Human,2,11,139,3,2,1
2008,clus_4,longleaf,RCW,3,15,67,4,3,1
2008,clus_6,longleaf,RCW,3,15,76,4,4,0
2008,clus_7,longleaf,RCW,3,17,78,3,0,3
2008,clus_8,longleaf,RCW,2,26,170,3,2,1
2008,clus_9,longleaf,RCW,2,25,87,3,2,1
2008,clus_11,longleaf,RCW,3,17,171,4,3,1
2008,clus_13,longleaf,Human,2,11,76,4,3,1
2008,clus_14,longleaf,RCW,3,20,137,3,3,0
2008,clus_17,longleaf,RCW,4,22,147,3,3,0
2008,clus_20,longleaf,Human,4,20,71,3,2,1
2008,clus_22,loblolly,RCW,4,37,78,4,3,1
2008,clus_23,pond pine,RCW,2,17,85,2,1,1
2008,clus_24,longleaf,RCW,3,24,89,4,3,1
2008,clus_25,longleaf,Human,3,20,168,4,3,1
2008,clus_26,longleaf,Human,3,15,109,6,3,3
2008,clus_27,longleaf,RCW,3,12,70,3,3,0
2008,clus_28,pond pine,RCW,2,12,60,3,2,1
2008,clus_29,longleaf,RCW,2,15,91,3,0,3
2008,clus_32,loblolly,RCW,3,15,51,4,3,1
2008,clus_33,pond pine,RCW,3,17,60,4,3,1
2008,clus_35,loblolly,RCW,2,45,0,3,2,1
2008,clus_36,longleaf,Human,2,20,92,3,2,1
2008,clus_37,longleaf,RCW,2,25,133,3,0,3
2008,clus_39,longleaf,Human,2,15,141,4,2,2
2008,clus_40,longleaf,Human,4,15,87,4,2,2
2008,clus_42,longleaf,RCW,2,16,72,4,3,1
2008,clus_43,longleaf,RCW,3,45,73,2,0,2
2008,clus_44,longleaf,Human,4,11,70,3,2,1
2008,clus_45,longleaf,Human,3,22,72,4,3,1
2008,clus_46,longleaf,Human,3,16,65,4,1,3
2008,clus_48,longleaf,Human,2,20,82,4,2,2
2008,clus_49,longleaf,RCW,2,12,72,4,4,0
2008,clus_50,longleaf,Human,3,15,90,4,3,1
2008,clus_51,longleaf,RCW,2,20,65,4,0,4
2008,clus_53,longleaf,RCW,2,19,66,3,2,1
2008,clus_55,longleaf,Human,4,20,62,3,3,0
2008,clus_56,loblolly,RCW,3,13,52,3,3,0
2008,clus_58,longleaf,Human,3,20,80,3,0,3
2008,clus_59,longleaf,RCW,3,15,74,5,3,2
2008,clus_61,loblolly,RCW,3,43,92,3,2,1
2008,clus_63,longleaf,Human,4,15,143,3,2,1
2008,clus_69,longleaf,Human,3,20,97,3,0,3
2008,clus_70,longleaf,RCW,2,26,135,2,2,0
2008,clus_74,longleaf,Human,3,20,78,4,2,2
2008,clus_75,loblolly,Human,4,20,76,2,1,1
2008,clus_76,longleaf,Human,2,20,71,2,1,1
2008,clus_79,longleaf,Human,3,15,69,4,3,1
2008,clus_80,longleaf,RCW,3,30,87,3,3,0
2008,clus_83,loblolly,RCW,2,18,68,4,3,1
2008,clus_98,longleaf,Human,3,20,81,4,2,2
2009,clus_1,loblolly,RCW,4,25,82,4,2,2
2009,clus_2,longleaf,Human,3,11,139,3,3,0
2009,clus_4,longleaf,RCW,3,20,87,1,0,1
2009,clus_6,longleaf,RCW,3,15,76,4,3,1
2009,clus_7,longleaf,RCW,3,17,78,3,1,2
2009,clus_8,longleaf,RCW,2,26,170,3,3,0
2009,clus_9,longleaf,RCW,2,25,87,4,2,2
2009,clus_12,longleaf,Human,3,20,83,4,3,1
2009,clus_13,longleaf,Human,3,11,84,4,3,1
2009,clus_14,longleaf,RCW,3,20,137,3,2,1
2009,clus_17,longleaf,RCW,5,26,96,4,3,1
2009,clus_23,pond pine,RCW,2,17,85,3,2,1
2009,clus_24,longleaf,RCW,3,24,89,4,3,1
2009,clus_25,longleaf,Human,3,20,168,5,2,3
2009,clus_27,longleaf,RCW,3,10,64,3,0,3
2009,clus_28,pond pine,RCW,3,12,60,4,2,2
2009,clus_31,longleaf,Human,2,11,126,3,2,1
2009,clus_32,loblolly,RCW,3,15,51,4,4,0
2009,clus_33,pond pine,RCW,2,17,60,2,1,1
2009,clus_35,longleaf,RCW,3,17,117,4,3,1
2009,clus_37,longleaf,RCW,2,25,133,2,2,0
2009,clus_39,longleaf,Human,2,20,153,4,2,2
2009,clus_40,longleaf,RCW,4,17,0,5,3,2
2009,clus_44,longleaf,Human,3,11,70,4,2,2
2009,clus_45,longleaf,Human,2,22,72,1,0,1
2009,clus_46,longleaf,Human,3,16,65,4,4,0
2009,clus_47,longleaf,RCW,2,27,87,4,2,2
2009,clus_49,longleaf,RCW,2,12,72,5,3,2
2009,clus_50,longleaf,Human,3,15,90,7,4,3
2009,clus_51,longleaf,RCW,2,20,65,4,2,2
2009,clus_52,longleaf,RCW,3,14,80,2,1,1
2009,clus_55,longleaf,Human,4,20,62,4,3,1
2009,clus_56,loblolly,RCW,4,13,52,4,3,1
2009,clus_57,longleaf,Human,2,15,69,4,4,0
2009,clus_58,longleaf,Human,3,20,80,3,3,0
2009,clus_59,longleaf,RCW,4,15,74,4,3,1
2009,clus_61,loblolly,RCW,3,43,92,3,3,0
2009,clus_63,longleaf,RCW,3,31,79,4,3,1
2009,clus_64,longleaf,Human,2,15,75,3,3,0
2009,clus_65,loblolly,RCW,2,35,99,4,2,2
2009,clus_66,longleaf,Human,3,20,78,3,3,0
2009,clus_70,longleaf,RCW,2,26,135,3,2,1
2009,clus_72,loblolly,RCW,2,20,72,3,3,0
2009,clus_74,longleaf,Human,3,20,78,5,2,3
2009,clus_79,longleaf,Human,3,15,69,4,2,2
2009,clus_80,longleaf,RCW,3,30,87,4,4,0
2009,clus_81,loblolly,Human,3,20,98,3,3,0
2009,clus_82,longleaf,Human,2,20,98,3,2,1
2009,clus_83,loblolly,RCW,3,18,68,4,3,1
2009,clus_84,longleaf,RCW,3,23,77,3,2,1
2009,clus_90,longleaf,Human,3,20,91,4,3,1
2009,clus_95,loblolly,Human,2,20,0,4,1,3
2009,clus_97,longleaf,Human,2,15,85,3,2,1
2009,clus_98,longleaf,Human,4,20,81,4,3,1
2010,clus_3,pond pine,RCW,2,14,65,3,3,0
2010,clus_4,longleaf,RCW,3,20,87,3,3,0
2010,clus_5,longleaf,RCW,2,17,70,4,2,2
2010,clus_6,longleaf,RCW,4,15,76,4,3,1
2010,clus_7,longleaf,RCW,2,17,78,4,3,1
2010,clus_8,longleaf,RCW,2,26,170,2,2,0
2010,clus_9,longleaf,RCW,2,25,87,4,2,2
2010,clus_11,longleaf,RCW,3,17,171,4,3,1
2010,clus_12,longleaf,RCW,3,23,125,3,3,0
2010,clus_13,longleaf,Human,3,11,76,5,4,1
2010,clus_14,longleaf,RCW,4,27,196,3,2,1
2010,clus_16,longleaf,Human,3,15,149,3,3,0
2010,clus_17,longleaf,RCW,4,26,96,3,3,0
2010,clus_19,loblolly,RCW,3,40,81,3,3,0
2010,clus_22,loblolly,RCW,4,34,72,1,0,1
2010,clus_23,pond pine,RCW,3,20,77,2,2,0
2010,clus_24,longleaf,RCW,3,29,81,4,2,2
2010,clus_26,longleaf,Human,2,15,93,4,2,2
2010,clus_27,longleaf,RCW,3,17,0,3,2,1
2010,clus_28,pond pine,RCW,4,12,60,3,3,0
2010,clus_29,longleaf,Human,2,11,200,4,2,2
2010,clus_31,longleaf,Human,3,11,126,3,3,0
2010,clus_33,pond pine,RCW,2,17,60,3,0,3
2010,clus_34,longleaf,Human,2,21,113,3,0,3
2010,clus_35,longleaf,RCW,4,17,117,3,3,0
2010,clus_37,longleaf,RCW,4,25,133,4,3,1
2010,clus_39,longleaf,RCW,3,24,88,4,2,2
2010,clus_42,loblolly,RCW,2,22,73,4,1,3
2010,clus_44,longleaf,RCW,3,18,89,4,4,0
2010,clus_47,longleaf,RCW,2,27,87,2,2,0
2010,clus_49,longleaf,RCW,2,12,72,4,0,4
2010,clus_50,longleaf,Human,3,21,82,4,2,2
2010,clus_51,longleaf,RCW,3,15,65,3,3,0
2010,clus_55,longleaf,RCW,3,15,84,4,2,2
2010,clus_56,loblolly,RCW,4,13,52,4,4,0
2010,clus_57,longleaf,Human,2,15,69,2,0,2
2010,clus_58,longleaf,Human,3,20,80,3,2,1
2010,clus_59,longleaf,RCW,4,15,74,3,1,2
2010,clus_61,longleaf,Human,3,21,83,3,2,1
2010,clus_63,longleaf,RCW,3,31,79,4,3,1
2010,clus_64,longleaf,Human,2,15,75,4,3,1
2010,clus_66,longleaf,Human,3,20,78,4,4,0
2010,clus_69,longleaf,RCW,2,17,82,1,1,0
2010,clus_70,longleaf,RCW,3,26,135,3,1,2
2010,clus_74,longleaf,RCW,4,21,79,3,3,0
2010,clus_76,longleaf,Human,3,15,70,3,0,3
2010,clus_80,longleaf,RCW,4,30,87,4,4,0
2010,clus_81,loblolly,Human,3,20,98,3,2,1
2010,clus_86,loblolly,Human,2,20,65,3,3,0
2010,clus_88,longleaf,Human,2,20,84,3,3,0
2010,clus_90,longleaf,Human,4,20,91,4,4,0
2010,clus_94,longleaf,Human,2,15,82,3,1,2
2010,clus_95,longleaf,Human,2,20,0,4,2,2
2010,clus_96,longleaf,Human,2,21,81,3,3,0
2010,clus_97,longleaf,Human,3,15,85,4,3,1
2010,clus_98,longleaf,Human,4,20,81,4,3,1
2010,clus_100,longleaf,Human,3,21,82,3,2,1
2010,clus_104,longleaf,Human,2,21,79,2,2,0
2011,clus_1,loblolly,RCW,2,25,82,3,2,1
2011,clus_2,longleaf,Human,3,11,139,3,3,0
2011,clus_3,pond pine,RCW,3,14,65,4,3,1
2011,clus_4,longleaf,RCW,4,20,87,4,3,1
2011,clus_5,longleaf,RCW,3,30,73,4,3,1
2011,clus_7,longleaf,RCW,3,17,78,4,2,2
2011,clus_8,longleaf,RCW,3,26,170,4,4,0
2011,clus_9,longleaf,RCW,3,25,87,4,2,2
2011,clus_10,longleaf,RCW,4,35,123,4,2,2
2011,clus_11,longleaf,RCW,4,17,171,4,2,2
2011,clus_12,longleaf,RCW,2,23,125,3,3,0
2011,clus_14,longleaf,RCW,3,27,196,3,2,1
2011,clus_16,longleaf,Human,4,15,149,4,4,0
2011,clus_17,longleaf,RCW,4,26,96,3,2,1
2011,clus_19,loblolly,RCW,3,40,81,4,3,1
2011,clus_21,loblolly,RCW,2,33,85,3,3,0
2011,clus_23,pond pine,RCW,2,20,77,3,2,1
2011,clus_25,longleaf,Human,3,20,183,4,3,1
2011,clus_27,longleaf,RCW,4,17,0,3,3,0
2011,clus_28,pond pine,RCW,5,12,60,3,3,0
2011,clus_31,loblolly,RCW,3,15,54,4,3,1
2011,clus_32,loblolly,RCW,2,15,51,4,3,1
2011,clus_34,longleaf,Human,2,21,113,3,2,1
2011,clus_35,longleaf,RCW,4,23,97,2,2,0
2011,clus_37,longleaf,Human,3,15,84,4,3,1
2011,clus_40,longleaf,RCW,3,17,0,4,3,1
2011,clus_44,longleaf,RCW,4,18,89,3,3,0
2011,clus_45,longleaf,RCW,2,23,79,3,2,1
2011,clus_46,longleaf,Human,4,16,65,4,4,0
2011,clus_47,longleaf,RCW,3,27,87,3,2,1
2011,clus_49,longleaf,RCW,2,16,88,2,0,2
2011,clus_50,longleaf,Human,2,21,82,4,3,1
2011,clus_51,longleaf,RCW,2,15,65,4,2,2
2011,clus_53,longleaf,Human,2,15,70,3,2,1
2011,clus_55,longleaf,RCW,2,21,0,3,3,0
2011,clus_56,loblolly,RCW,4,20,0,4,2,2
2011,clus_58,longleaf,Human,3,20,80,4,3,1
2011,clus_59,longleaf,RCW,3,15,74,3,3,0
2011,clus_61,longleaf,Human,3,21,83,4,3,1
2011,clus_63,longleaf,Human,2,15,143,2,2,0
2011,clus_64,longleaf,Human,3,15,75,4,3,1
2011,clus_65,loblolly,RCW,3,35,99,3,2,1
2011,clus_66,longleaf,Human,3,20,78,4,3,1
2011,clus_67,longleaf,Human,3,15,73,4,2,2
2011,clus_69,longleaf,RCW,2,17,82,2,2,0
2011,clus_70,longleaf,RCW,2,14,125,2,2,0
2011,clus_72,loblolly,RCW,4,20,72,4,3,1
2011,clus_75,loblolly,Human,2,21,101,3,2,1
2011,clus_76,longleaf,RCW,3,18,82,3,3,0
2011,clus_77,longleaf,Human,2,20,72,4,4,0
2011,clus_80,longleaf,RCW,2,30,87,4,4,0
2011,clus_86,loblolly,Human,2,20,65,3,1,2
2011,clus_87,longleaf,RCW,2,19,84,3,3,0
2011,clus_88,longleaf,Human,2,20,84,4,2,2
2011,clus_89,loblolly,RCW,4,22,69,3,3,0
2011,clus_90,longleaf,Human,4,20,91,4,4,0
2011,clus_92,longleaf,Human,3,16,95,3,2,1
2011,clus_93,longleaf,Human,2,15,139,3,3,0
2011,clus_94,longleaf,Human,3,15,82,4,0,4
2011,clus_96,longleaf,Human,3,21,81,4,3,1
2011,clus_97,longleaf,Human,3,15,72,4,3,1
2011,clus_98,longleaf,Human,4,15,77,4,3,1
2011,clus_100,longleaf,Human,4,16,79,4,2,2
2011,clus_104,longleaf,Human,2,21,79,4,3,1
2011,clus_107,longleaf,Human,2,21,0,2,2,0
2012,clus_1,loblolly,RCW,2,25,82,4,2,2
2012,clus_2,longleaf,Human,4,11,139,4,2,2
2012,clus_3,pond pine,RCW,4,14,65,4,3,1
2012,clus_4,longleaf,RCW,4,20,87,4,3,1
2012,clus_5,longleaf,RCW,3,30,73,4,4,0
2012,clus_6,longleaf,RCW,3,20,64,3,3,0
2012,clus_7,longleaf,RCW,3,17,78,4,2,2
2012,clus_8,longleaf,RCW,2,26,170,4,3,1
2012,clus_9,longleaf,RCW,4,25,87,4,2,2
2012,clus_10,longleaf,RCW,3,35,123,4,2,2
2012,clus_12,longleaf,RCW,2,23,125,4,1,3
2012,clus_14,longleaf,RCW,3,27,196,4,2,2
2012,clus_17,longleaf,RCW,4,26,96,2,2,0
2012,clus_19,loblolly,RCW,4,40,81,4,3,1
2012,clus_20,longleaf,Human,2,21,112,2,2,0
2012,clus_21,loblolly,RCW,2,45,102,3,3,0
2012,clus_23,longleaf,Human,2,16,124,3,0,3
2012,clus_25,pond pine,RCW,2,25,0,4,2,2
2012,clus_26,longleaf,RCW,2,19,84,3,2,1
2012,clus_27,longleaf,RCW,5,15,164,4,1,3
2012,clus_28,pond pine,RCW,6,12,60,3,2,1
2012,clus_29,longleaf,Human,2,20,129,4,4,0
2012,clus_31,loblolly,RCW,3,20,54,4,4,0
2012,clus_32,loblolly,RCW,2,15,51,4,1,3
2012,clus_33,pond pine,RCW,2,17,60,3,3,0
2012,clus_34,longleaf,Human,3,21,113,4,4,0
2012,clus_35,longleaf,RCW,3,17,117,3,3,0
2012,clus_37,longleaf,Human,4,15,84,4,3,1
2012,clus_40,longleaf,Human,5,15,87,3,2,1
2012,clus_42,loblolly,RCW,3,32,82,5,0,5
2012,clus_43,longleaf,RCW,2,23,89,2,1,1
2012,clus_44,longleaf,RCW,4,21,87,4,4,0
2012,clus_45,longleaf,RCW,2,23,79,3,2,1
2012,clus_46,longleaf,Human,4,16,65,3,3,0
2012,clus_47,loblolly,RCW,3,42,82,3,3,0
2012,clus_50,longleaf,RCW,2,22,90,3,2,1
2012,clus_51,longleaf,Human,2,20,111,5,3,2
2012,clus_54,longleaf,RCW,5,18,67,4,2,2
2012,clus_56,loblolly,RCW,5,13,52,5,4,1
2012,clus_58,longleaf,Human,2,20,80,5,3,2
2012,clus_59,longleaf,RCW,3,15,74,4,3,1
2012,clus_61,longleaf,Human,4,21,83,4,4,0
2012,clus_63,longleaf,Human,2,15,143,3,3,0
2012,clus_64,loblolly,RCW,3,33,0,4,3,1
2012,clus_65,loblolly,RCW,3,47,87,3,2,1
2012,clus_66,longleaf,Human,3,20,78,4,3,1
2012,clus_67,loblolly,RCW,5,40,0,4,2,2
2012,clus_69,longleaf,RCW,2,17,82,3,3,0
2012,clus_74,longleaf,RCW,2,36,90,3,3,0
2012,clus_75,loblolly,Human,2,21,101,3,2,1
2012,clus_76,longleaf,RCW,4,18,82,4,2,2
2012,clus_77,longleaf,Human,2,15,85,4,3,1
2012,clus_80,longleaf,RCW,2,11,87,4,4,0
2012,clus_81,longleaf,RCW,2,21,72,3,2,1
2012,clus_83,loblolly,RCW,3,18,68,4,2,2
2012,clus_84,longleaf,RCW,2,23,77,4,1,3
2012,clus_86,loblolly,Human,2,20,65,4,3,1
2012,clus_87,longleaf,RCW,2,19,84,4,0,4
2012,clus_88,longleaf,Human,3,20,84,3,2,1
2012,clus_89,loblolly,RCW,4,22,69,4,2,2
2012,clus_90,longleaf,Human,5,20,112,4,3,1
2012,clus_92,longleaf,Human,3,16,95,4,3,1
2012,clus_93,longleaf,RCW,3,20,100,3,2,1
2012,clus_94,longleaf,Human,2,20,79,4,3,1
2012,clus_95,longleaf,RCW,2,21,77,3,3,0
2012,clus_96,longleaf,Human,3,21,83,4,4,0
2012,clus_97,longleaf,Human,3,15,72,2,2,0
2012,clus_98,longleaf,Human,4,15,77,3,2,1
2012,clus_100,longleaf,Human,3,16,79,4,3,1
2012,clus_101,longleaf,Human,2,16,94,3,3,0
2012,clus_103,longleaf,Human,2,21,83,4,2,2
2012,clus_104,longleaf,Human,2,21,79,5,3,2
2012,clus_106,longleaf,Human,2,16,85,4,1,3
2012,clus_107,longleaf,Human,2,21,0,3,1,2
2012,clus_108,longleaf,Human,2,21,82,3,2,1
